27:12.6,28407,217707,178931,-7003,-1.128496592,-6924,-1.115766158
27:12.7,28408,217705,178923,-6759,-1.089177276,-6906,-1.112865553
27:12.7,28409,217717,178935,-6370,-1.026491974,-6877,-1.108192355
27:12.7,28410,217670,178917,-6718,-1.082570342,-6849,-1.103680303
27:12.7,28411,217659,178917,-6809,-1.097234513,-6832,-1.100940842
27:12.7,28412,217639,178920,-6328,-1.019723895,-6821,-1.09916825
27:12.7,28413,217660,178911,-6528,-1.051952842,-6789,-1.094011618
27:12.7,28414,217629,178909,-7238,-1.166365605,-6770,-1.090949868
27:12.7,28415,217634,178908,-6480,-1.044217895,-6717,-1.082409197
27:12.7,28416,217620,178910,-6227,-1.003448276,-6623,-1.067261592
27:12.7,28417,217645,178918,-6842,-1.102552289,-6584,-1.060976947
27:12.7,28418,217635,178911,-6986,-1.125757132,-6605,-1.064360987
27:12.7,28419,217626,178918,-6331,-1.020207329,-6578,-1.060010079
27:12.7,28420,217614,178922,-6677,-1.075963408,-6551,-1.055659171
27:12.7,28421,217603,178926,-6518,-1.050341395,-6536,-1.053242
27:12.7,28422,217613,178921,-6323,-1.018918171,-6523,-1.051147118
27:12.7,28423,217615,178929,-6540,-1.053886579,-6523,-1.051147118
27:12.7,28424,217597,178911,-6851,-1.104002592,-6541,-1.054047724
27:12.8,28425,217580,178894,-6379,-1.027942276,-6562,-1.057431763
27:12.8,28426,217564,178897,-6547,-1.055014592,-6577,-1.059848934
27:12.8,28427,217557,178886,-6874,-1.107708921,-6598,-1.063232974
27:12.8,28428,217543,178883,-6352,-1.023591368,-6621,-1.066939303
27:12.8,28429,217520,178863,-6444,-1.038416684,-6635,-1.069195329
27:12.8,28430,217501,178866,-6995,-1.127207434,-6646,-1.070967921
27:12.8,28431,217517,178866,-6523,-1.051147118,-6662,-1.073546237
27:12.8,28432,217508,178852,-6261,-1.008927197,-6674,-1.075479974
27:12.8,28433,217494,178860,-6844,-1.102874579,-6681,-1.076607987
27:12.8,28434,217490,178862,-6772,-1.091272158,-6686,-1.077413711
27:12.8,28435,217519,178851,-5861,-0.944469303,-6685,-1.077252566
27:12.8,28436,217514,178856,-6093,-0.981854882,-6675,-1.075641118
27:12.8,28437,217533,178854,-6621,-1.066939303,-6663,-1.073707382
27:12.8,28438,217506,178847,-6516,-1.050019105,-6650,-1.0716125
27:12.8,28439,217507,178850,-6041,-0.973475355,-6636,-1.069356474
27:12.8,28440,217527,178854,-6559,-1.056948329,-6632,-1.068711895
27:12.8,28441,217516,178851,-6432,-1.036482947,-6638,-1.069678763
27:12.8,28442,217565,178873,-5794,-0.933672605,-6634,-1.069034184
27:12.8,28443,217566,178863,-6169,-0.994101882,-6626,-1.067745026
27:12.8,28444,217575,178871,-6594,-1.062588395,-6620,-1.066778158
27:12.8,28445,217615,178881,-6038,-0.972991921,-6603,-1.064038697
27:12.8,28446,217612,178894,-5946,-0.958166605,-6580,-1.060332368
27:12.9,28447,217638,178900,-6495,-1.046635066,-6575,-1.059526645
27:12.9,28448,217648,178905,-6088,-0.981049158,-6582,-1.060654658
27:12.9,28449,217669,178928,-5467,-0.880978276,-6591,-1.062104961
27:12.9,28450,217670,178927,-6210,-1.000708816,-6606,-1.064522132
27:12.9,28451,217705,178936,-6390,-1.029714868,-6613,-1.065650145
27:12.9,28452,217686,178943,-5748,-0.926259947,-6597,-1.063071829
27:12.9,28453,217703,178946,-6314,-1.017467868,-6572,-1.059043211
27:12.9,28454,217716,178935,-6499,-1.047279645,-6554,-1.056142605
27:12.9,28455,217688,178938,-6103,-0.983466329,-6539,-1.053725434
27:12.9,28456,217687,178921,-6364,-1.025525105,-6523,-1.051147118
27:12.9,28457,217701,178926,-6789,-1.094011618,-6506,-1.048407658
27:12.9,28458,217680,178906,-5813,-0.936734355,-6480,-1.044217895
27:12.9,28459,217680,178913,-5708,-0.919814158,-6443,-1.038255539
27:12.9,28460,217684,178908,-6166,-0.993618447,-6407,-1.032454329
27:12.9,28461,217656,178921,-5797,-0.934156039,-6374,-1.027136553
27:12.9,28462,217654,178901,-5346,-0.861479763,-6338,-1.021335342
27:12.9,28463,217679,178916,-6225,-1.003125987,-6311,-1.016984434
27:12.9,28464,217683,178909,-6107,-0.984110908,-6297,-1.014728408
27:12.9,28465,217683,178901,-5394,-0.869214711,-6278,-1.011666658
27:12.9,28466,217677,178890,-6058,-0.976214816,-6249,-1.006993461
27:12.9,28467,217666,178905,-6554,-1.056142605,-6223,-1.002803697
27:12.9,28468,217670,178911,-5872,-0.946241895,-6200,-0.999097368
27:12.9,28469,217661,178905,-5236,-0.843753842,-6173,-0.994746461
27:13.0,28470,217682,178914,-6086,-0.980726868,-6154,-0.991684711
27:13.0,28471,217693,178904,-6075,-0.978954276,-6146,-0.990395553
27:13.0,28472,217671,178894,-5489,-0.884523461,-6138,-0.989106395
27:13.0,28473,217689,178907,-6352,-1.023591368,-6143,-0.989912118
27:13.0,28474,217687,178903,-5834,-0.940118395,-6161,-0.992812724
27:13.0,28475,217688,178913,-5154,-0.830539974,-6171,-0.994424171
27:13.0,28476,217701,178906,-5625,-0.906439145,-6173,-0.994746461
27:13.0,28477,217705,178907,-6364,-1.025525105,-6183,-0.996357908
27:13.0,28478,217713,178906,-5359,-0.863574645,-6186,-0.996841342
27:13.0,28479,217714,178904,-5610,-0.904021974,-6171,-0.994424171
27:13.0,28480,217728,178918,-5874,-0.946564184,-6155,-0.991845855
27:13.0,28481,217715,178914,-5526,-0.890485816,-6041,-0.973475355
